time,iso,ts,device_name,dev_eui,device_profile_name,site,sensor_latitude,sensor_longitude,sensor_altitude,sensor_geojson,temperature_c,humidity,battery_v
2026-03-27T03:10:28.805662+00:00,2026-03-27T03:10:29.035Z,1774581029035.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",13.8,69.3,3.664
2026-03-27T03:15:51.529997+00:00,2026-03-27T03:15:51.758Z,1774581351758.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.5,69.6,3.662
2026-03-27T03:30:28.816732+00:00,2026-03-27T03:30:29.038Z,1774582229039.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",13.6,67.7,3.664
2026-03-27T03:34:35.568938+00:00,2026-03-27T03:34:35.794Z,1774582475794.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",12.8,70.6,3.661
2026-03-27T03:35:51.539938+00:00,2026-03-27T03:35:51.762Z,1774582551763.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.3,69.7,3.662
2026-03-27T03:50:28.815004+00:00,2026-03-27T03:50:29.034Z,1774583429034.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.0,63.8,3.664
2026-03-27T03:55:51.537943+00:00,2026-03-27T03:55:51.755Z,1774583751755.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.7,64.4,3.662
2026-03-27T04:10:28.811036+00:00,2026-03-27T04:10:29.025Z,1774584629025.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.7,61.9,3.664
2026-03-27T04:14:35.543993+00:00,2026-03-27T04:14:35.756Z,1774584875756.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",14.1,65.9,3.661
2026-03-27T04:30:28.815409+00:00,2026-03-27T04:30:29.027Z,1774585829028.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.7,62.9,3.664
2026-03-27T04:34:35.534897+00:00,2026-03-27T04:34:35.745Z,1774586075745.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",13.8,67.1,3.663
2026-03-27T04:35:51.557662+00:00,2026-03-27T04:35:51.770Z,1774586151771.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.8,64.7,3.662
2026-03-27T04:50:28.810852+00:00,2026-03-27T04:50:29.019Z,1774587029019.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.6,62.1,3.664
2026-03-27T04:54:35.525621+00:00,2026-03-27T04:54:35.735Z,1774587275735.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",14.0,66.2,3.661
2026-03-27T04:55:51.557469+00:00,2026-03-27T04:55:51.765Z,1774587351766.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.8,63.6,3.662
2026-03-27T05:10:28.813658+00:00,2026-03-27T05:10:29.032Z,1774588229033.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.3,62.7,3.664
2026-03-27T05:14:35.516063+00:00,2026-03-27T05:14:35.734Z,1774588475734.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",15.1,60.2,3.661
2026-03-27T05:15:51.566008+00:00,2026-03-27T05:15:51.778Z,1774588551778.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.9,65.3,3.659
2026-03-27T05:30:28.813022+00:00,2026-03-27T05:30:29.032Z,1774589429032.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",13.6,64.4,3.664
2026-03-27T05:30:55.168312+00:00,2026-03-27T05:30:55.388Z,1774589455388.0,LST25502631,a840419f918523a7,LSN50v2-S31,Gully,-38.6949,143.7737,179.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6949, 179.0]}",12.1,74.5,3.656
2026-03-27T05:34:35.507282+00:00,2026-03-27T05:34:35.727Z,1774589675727.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",16.4,54.6,3.663
2026-03-27T05:35:51.571697+00:00,2026-03-27T05:35:51.792Z,1774589751792.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",13.1,62.7,3.662
2026-03-27T05:50:28.817730+00:00,2026-03-27T05:50:29.037Z,1774590629037.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.2,64.0,3.664
2026-03-27T05:54:35.500338+00:00,2026-03-27T05:54:35.724Z,1774590875725.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",14.7,60.8,3.663
2026-03-27T05:55:51.575345+00:00,2026-03-27T05:55:51.797Z,1774590951797.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.9,64.2,3.662
2026-03-27T06:10:28.811964+00:00,2026-03-27T06:10:29.032Z,1774591829033.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.2,66.1,3.664
2026-03-27T06:14:35.489497+00:00,2026-03-27T06:14:35.708Z,1774592075708.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",14.7,63.1,3.661
2026-03-27T06:15:51.574484+00:00,2026-03-27T06:15:51.793Z,1774592151793.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.9,66.1,3.662
