device_name,dev_eui,latitude,longitude,altitude
LST25502626,ab4041cd218523a2,-38.69565,143.77358,173
LST25598095,a84041675186988f,-38.69565,143.77358,173
LST25502641,a8404142118523b1,-38.69566,143.77357,176
LA66N721745,a840411ca1887b91,-38.69567,143.77354,175
LST25502625,a84041e2a18523a1,-38.69562,143.77353,175
LST25502631,a840419f918523a7,-38.69559,143.77361,176
LA666277834,a84041fba55fcaca,-38.69569,143.77359,180
LA666277837,a840414c305fcacd,-38.69569,143.77357,178
1254000489,2cf7f1c073400187,-38.69568,143.77361,174
