time,iso,ts,device_name,dev_eui,device_profile_name,site,sensor_latitude,sensor_longitude,sensor_altitude,sensor_geojson,tank_distance,tank_battery_v,tank_temp_c
2026-03-27T02:47:49.840754+00:00,2026-03-27T02:47:50.066Z,1774579670066.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T03:00:14.073063+00:00,2026-03-27T03:00:14.302Z,1774580414302.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T03:07:49.564274+00:00,2026-03-27T03:07:49.786Z,1774580869786.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T03:10:02.161771+00:00,2026-03-27T03:10:02.391Z,1774581002391.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T03:20:13.818446+00:00,2026-03-27T03:20:14.041Z,1774581614041.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T03:27:49.261937+00:00,2026-03-27T03:27:49.491Z,1774582069491.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T03:30:01.913882+00:00,2026-03-27T03:30:02.136Z,1774582202136.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T03:40:13.568935+00:00,2026-03-27T03:40:13.790Z,1774582813790.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T03:47:48.973041+00:00,2026-03-27T03:47:49.193Z,1774583269193.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T03:50:01.664640+00:00,2026-03-27T03:50:01.883Z,1774583401883.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T04:00:13.320856+00:00,2026-03-27T04:00:13.536Z,1774584013536.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T04:07:48.680238+00:00,2026-03-27T04:07:48.893Z,1774584468893.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T04:20:13.074560+00:00,2026-03-27T04:20:13.286Z,1774585213286.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T04:27:48.392402+00:00,2026-03-27T04:27:48.603Z,1774585668603.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T04:30:01.154443+00:00,2026-03-27T04:30:01.364Z,1774585801364.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T04:40:12.815639+00:00,2026-03-27T04:40:13.025Z,1774586413026.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.99,327.6
2026-03-27T04:47:48.097675+00:00,2026-03-27T04:47:48.305Z,1774586868305.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T04:50:00.906277+00:00,2026-03-27T04:50:01.116Z,1774587001116.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T05:00:12.571355+00:00,2026-03-27T05:00:12.784Z,1774587612784.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T05:07:47.805613+00:00,2026-03-27T05:07:48.029Z,1774588068029.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T05:10:00.649780+00:00,2026-03-27T05:10:00.869Z,1774588200869.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T05:20:12.316947+00:00,2026-03-27T05:20:12.536Z,1774588812536.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T05:27:47.517089+00:00,2026-03-27T05:27:47.738Z,1774589267738.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T05:40:12.066351+00:00,2026-03-27T05:40:12.285Z,1774590012285.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.99,327.6
2026-03-27T05:47:47.222455+00:00,2026-03-27T05:47:47.442Z,1774590467442.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T05:50:00.151552+00:00,2026-03-27T05:50:00.373Z,1774590600373.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T06:00:11.816647+00:00,2026-03-27T06:00:12.038Z,1774591212039.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T06:07:46.933001+00:00,2026-03-27T06:07:47.155Z,1774591667156.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T06:09:59.893126+00:00,2026-03-27T06:10:00.125Z,1774591800125.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T06:20:11.564966+00:00,2026-03-27T06:20:11.784Z,1774592411784.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.99,327.6
